"Region","Major RGI region","Mountain range region","Country","Glacier","RGI glacier ID","RGI glacier Area","Lake name","Lake type","Longitude","Latitude","River","Date","Min. date","Max. date","Outburst mechanism","Mean lake volume","Min. lake volume","Max. lake volume","Lake volume determination method","Mean flood volume","Min. flood volume","Max. flood volume","Flood volume determination method","Peak discharge","Min. peak discharge","Max. peak discharge","Peak discharge determination method","Impact and destruction","Reported impacts (categorized)","Occurrence of economic losses","Damage to buildings","Damage to bridges","Damage to roads or paths","Damage to railroads","Damage to utilities","Damage to flood protection measures","Damage to the environment","Resettlement","Reported fatalities","Further comments","Year of First Reference Found","References","Reference comments","Lake area before","Perimeter before","Image date before","Satellite before","Scenename before","Certainty level before","Lake area after","Image date after","Perimeter after","Satellite after","Scenename after","Certainty level after","Lake area comments"
"Andes","Southern Andes","C Andes","Argentina","Gl. Grande del Nevado del Plomo","RGI60-17.14046","10.921","","ice","-69.98","-33.1199999999999","Plomo","1926","","","","","","","","","","","","1000","","","estimated","","","","","","","","","","","","","","1985","Prieto, M. (1985). Un Fenomeno Ciclico? Hubo otros Endicamientos en el Rio dei Plomo? Diario Los Andes, Mendoza, Argentina. CITED IN Fernández, P. C., Fornero, L., Maza, J., & Yañez, H. (1991). Simulation of flood waves from outburst of glacier-dammed lake. Journal of Hydraulic Engineering, 117(1), 42-53.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1926","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1927","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1928","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1929","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Pio XI Glacier","RGI60-17.05181","1234.714","Lago Greve","ice","-73.9599999999999","-49.03","","","1929","1945","","","","","","","","","","","","","","","","","","","","","","","","","","","1994","Warren, C. P. & Rivera, A. (1994). Non-linear climatic response of Calving Glaciers: A case study of Pio XI Glacier, Chilean Patagonia. Revista Chilena de Historia Natural, 67, 385-394.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1930","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1931","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1932","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Low Latitudes","Low-latitude Andes","Peru","RGI60-16.01875","RGI60-16.01875","8.823","Solteracocha","moraine","-76.9379","-10.2333","","1932-03-14","","","breach","","","","","","","","","","","","","Considerable damage","u","","","","","","","","","","","partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures","1954","Harrison, S., Kargel, J. S., Huggel, C., Reynolds, J., Shugar, D. H., Betts, R. A., ... & Reinhardt, L. (2018). Climate change and the global pattern of moraine-dammed glacial lake outburst floods. The Cryosphere, 12(4), 1195-1209. & Kinzl, H., Schneider, E., & Awerzger, A. (1954). Cordillera Huayhuash, Perú - Ein Bildwerk über ein Tropisches Hochgebirge; Verlag Tiroler Graphik: Innsbruck, Austria, p. 42. & Zapata, M. L. (2002). La dinamica glaciar en lagunas de la Cordillera Blanca. Acta Mont. Ser. A Geodyn., 123, 37–60. & Portocarrero, C. (1984). Seminaro desastres naturales–geologia, causes, efectos y prevenciones. ELECTROPERU SA, Unidad de glaciologia y seguridad de lagunas. Huaráz, Peru, p.10. CITED IN Baťka, J., Vilímek, V., Štefanová, E., Cook, S. J., & Emmer, A. (2020). Glacial Lake Outburst Floods (GLOFs) in the Cordillera Huayhuash, Peru: Historic Events and Current Susceptibility. Water, 12(10), 2664.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1933","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1934","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","C Andes","Argentina","Gl. Grande del Nevado del Plomo","RGI60-17.14046","10.921","","ice","-69.98","-33.1199999999999","Plomo","1934-01-11","","","","","","","","53","","","unknown","2700","","","unknown","The 1934 event resulted in more than 20 casualties and damages in infrastructure in order of 6 mil Argentinean pesos (1934 USD$ = ~1.8 mil) in a corridor of ~200 km","x","","","","","","","","","","","","1934","Prieto, M. del R. (1986). The glacier dam on the Rio Plomo: a cyclic phenomenon?. Zeitschrift für Gletscherkunde und Glazialgeologie, 22(1), 73-78. & La Vanguardia. (1934). El desbordamiento del Mendoza. Sábado 13 de Enero de 1934; 26–27. CITED IN Iribarren Anacona et al. (2015): Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andest, EPSL, 40, 2-21.","","","","","","","","","","","","","",""
"Andes","Southern Andes","C Andes","Argentina","Gl. Grande del Nevado del Plomo","RGI60-17.14046","10.921","","ice","-69.98","-33.1199999999999","Plomo","1934-01-16","","","","","","","","","","","","1350","","","unknown","","","","","","","","","","","","","","1935","King, W. D. V. O. (1935). El aluvión del río Mendoza de Enero de 1934. La Ingeniería, 39, 309-314. & Harrison, W. D., Osipova, G. B., Nosenko, G. A., Espizua, L., Kääb, A., Fischer, L., ... & Lai, A. W. (2015). Glacier surges. In Snow and ice-related hazards, risks and disasters (pp. 437-485). Academic Press. & Correas-Gonzalez, M., Moreiras, S., Jomelli, V., & Arnaud-Fassetta, G. (2020). Ice-dammed lake outburst flood risk in the Plomo basin, Central Andes (33º S): Perspectives from historical events. Cuadernos de Investigación Geográfica, 46(1), 223-249. CITED IN Correas-Gonzalez, M., Moreiras, S. M., & Klimeš, J. (2020, November). Spatial Distribution of Lakes in the Central Andes (31°–36°), Argentina: Implications for Outburst Flood Hazard. In Workshop on World Landslide Forum (pp. 95-102). Springer, Cham.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1935","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1936","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Argentina","Gl. Perito Moreno","RGI60-17.00312","263.322","Lago Argentino","ice","-72.98","-50.5","Santa Cruz","1936","","","tunneling and collapse","","","","","","","","","","","","","","","","","","","","","","","","","","1994","Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1937","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1938","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Low Latitudes","Low-latitude Andes","Peru","Pacllashcocha","RGI60-16.02383","2.136","Artesa","moraine","-77.515556","-9.113889","","1938-01-20","","","breach","","","","","0.525","0.25","0.8","estimated","","","","","","","","","","","","","","","","","partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures","1942","Broggi, J. A. (1942). Informe preliminar sobre la exploracion y estudio de las condiciones de estabilidad de las lagunas de la Cordillera Blanca. ELECTROPERU SA, Lima (Peru). & Lliboutry, L., Arnao, B. M., Pautre, A., & Schneider, B. (1977). Glaciological problems set by the control of dangerous lakes in Cordillera Blanca, Peru. I. Historical failures of morainic dams, their causes and prevention. Journal of Glaciology, 18(79), 239-254. & UGRH (2013). Registro historico de aluviones y avalanchas. Autoridad Nacional del Agua (ANA), Unidad de Glaciología y Recursos Hídricos (UGRH), Huaraz (Peru) & O'Connor, J. E., Hardison, J. H., & Costa, J. E. (2001). Debris flows from failures of Neoglacial-age moraine dams in the Three Sisters and Mount Jefferson Wilderness areas, Oregon (No. 1606). US Department of the Interior, US Geological Survey. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1939","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Low Latitudes","Low-latitude Andes","Peru","RGI60-16.02367","RGI60-16.02367","0.465","Unnamed (Q. Ulta)","moraine","-77.5125","-9.122778","","1939-04","","","breach","","","","","","","","","","","","","","","","","","","","","","","","","partial drainage","2001","O'Connor, J. E., Hardison, J. H., & Costa, J. E. (2001). Debris flows from failures of Neoglacial-age moraine dams in the Three Sisters and Mount Jefferson Wilderness areas, Oregon (No. 1606). US Department of the Interior, US Geological Survey. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1940","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Argentina","Gl. Perito Moreno","RGI60-17.00312","263.322","Lago Argentino","ice","-72.98","-50.5","Santa Cruz","1940","","","tunneling and collapse","","","","","","","","","","","","","","","","","","","","","","","","","","1994","Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1941","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Low Latitudes","Low-latitude Andes","Peru","RGI60-16.01876","RGI60-16.01876","1.163","Rurigallay","moraine","-76.9063","-10.3171","","1941-04-20","","","breach","","","","","","","","","","","","","Several deaths, bridges and paths destroyed","x","","","x","x","","","","","","x","partial drainage","1954","Kinzl, H.; Schneider, E.; Awerzger, A. Cordillera Huayhuash, Perú—Ein Bildwerk über ein Tropisches Hochgebirge; Verlag Tiroler Graphik: Innsbruck, Austria, 1954; p. 42 CITED IN Current Susceptibility, Water,12, 2664; doi:10.3390/w12102666; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.","","","","","","","","","","","","","",""
